# promo app availability, compiled by video.py
# Player Name | market | line | sides | game
Mason Adams | hits_allowed | 5.5 | over,under | ARI @ COL
Mason Adams | pitching_outs | 13.5 | over,under | ARI @ COL
Merrill Kelly | pitching_outs | 15.5 | over,under | ARI @ COL
Mason Adams | strikeouts | 3.5 | over,under | ARI @ COL
Merrill Kelly | strikeouts | 3.5 | over | ARI @ COL
Chris Sale | hits_allowed | 3.5 | over,under | CIN @ ATL
Chris Sale | pitching_outs | 15.5 | over,under | CIN @ ATL
Andrew Abbott | strikeouts | 3.5 | over,under | CIN @ ATL
Foster Griffin | hits_allowed | 4.5 | over | CLE @ BOS
Sonny Gray | hits_allowed | 4.5 | over | CLE @ BOS
Sonny Gray | pitching_outs | 17.5 | over,under | CLE @ BOS
Foster Griffin | strikeouts | 4.5 | over,under | CLE @ BOS
Sonny Gray | strikeouts | 4.5 | over,under | CLE @ BOS
Seth Lugo | hits_allowed | 4.5 | over | CWS @ KC
Seth Lugo | strikeouts | 4.5 | over,under | CWS @ KC
Ethan Pecko | pitching_outs | 14.5 | over,under | HOU @ SEA
George Kirby | strikeouts | 4.5 | over,under | HOU @ SEA
Jeffrey Springs | hits_allowed | 4.5 | over,under | LAA @ ATH
Walbert Urena | pitching_outs | 17.5 | over,under | LAA @ ATH
Jeffrey Springs | strikeouts | 4.5 | over,under | LAA @ ATH
Walbert Urena | strikeouts | 4.5 | over | LAA @ ATH
Kevin Gausman | hits_allowed | 4.5 | over,under | MIA @ CHC
Ryan Gusto | hits_allowed | 4.5 | over,under | MIA @ CHC
Kevin Gausman | strikeouts | 5.5 | over,under | MIA @ CHC
Ryan Gusto | strikeouts | 3.5 | over,under | MIA @ CHC
Aaron Nola | hits_allowed | 4.5 | over | MIL @ PHI
Logan Henderson | hits_allowed | 3.5 | over | MIL @ PHI
Aaron Nola | pitching_outs | 15.5 | over,under | MIL @ PHI
Aaron Nola | strikeouts | 5.5 | over,under | MIL @ PHI
Logan Henderson | strikeouts | 5.5 | over,under | MIL @ PHI
Cody Bradford | pitching_outs | 12.5 | over,under | NYM @ TEX
Nolan McLean | pitching_outs | 17.5 | over,under | NYM @ TEX
Nolan McLean | strikeouts | 5.5 | over,under | NYM @ TEX
Robbie Ray | hits_allowed | 4.5 | over,under | SD @ LAD
Yoshinobu Yamamoto | hits_allowed | 4.5 | over | SD @ LAD
Robbie Ray | pitching_outs | 14.5 | over,under | SD @ LAD
Robbie Ray | strikeouts | 3.5 | over | SD @ LAD
Yoshinobu Yamamoto | strikeouts | 6.5 | over,under | SD @ LAD
Matthew Liberatore | hits_allowed | 4.5 | over | STL @ PIT
Gerrit Cole | hits_allowed | 4.5 | over,under | TB @ NYY
Ian Seymour | hits_allowed | 3.5 | over,under | TB @ NYY
Gerrit Cole | pitching_outs | 17.5 | over,under | TB @ NYY
Mason Englert | strikeouts | 4.5 | over,under | TB @ NYY
