player,game,market,line,side,true_p,spread,books,opportunity,pref,one_sided
Seth Lugo,CWS @ KC,hits_allowed,4.5,over,0.5610,0.0000,1,22,3,0
Chris Sale,CIN @ ATL,pitching_outs,15.5,under,0.5588,0.0418,2,18,2,0
Merrill Kelly,ARI @ COL,strikeouts,3.5,over,0.5579,0.0224,2,18,1,0
Andrew Abbott,CIN @ ATL,strikeouts,3.5,over,0.5575,0.0063,2,18,1,0
Kevin Gausman,MIA @ CHC,strikeouts,5.5,over,0.5570,0.0207,2,18,1,0
Kevin Gausman,MIA @ CHC,hits_allowed,4.5,under,0.5548,0.0000,1,22,3,0
Sonny Gray,CLE @ BOS,hits_allowed,4.5,over,0.5530,0.0000,1,22,3,0
Yoshinobu Yamamoto,SD @ LAD,hits_allowed,4.5,over,0.5504,0.0000,1,22,3,0
Jeffrey Springs,LAA @ ATH,hits_allowed,4.5,over,0.5485,0.0000,1,22,3,0
Logan Henderson,MIL @ PHI,hits_allowed,3.5,over,0.5485,0.0000,1,22,3,0
Robbie Ray,SD @ LAD,pitching_outs,14.5,over,0.5465,0.0000,1,18,2,0
Robbie Ray,SD @ LAD,strikeouts,3.5,over,0.5420,0.0261,2,18,1,0
Mason Adams,ARI @ COL,strikeouts,3.5,under,0.5414,0.0028,2,18,1,0
Ethan Pecko,HOU @ SEA,pitching_outs,14.5,over,0.5403,0.0063,2,18,2,0
Mason Englert,TB @ NYY,strikeouts,4.5,over,0.5400,0.0000,1,18,1,0
Foster Griffin,CLE @ BOS,hits_allowed,4.5,over,0.5399,0.0000,1,22,3,0
Gerrit Cole,TB @ NYY,pitching_outs,17.5,under,0.5394,0.0000,1,18,2,0
Jeffrey Springs,LAA @ ATH,strikeouts,4.5,over,0.5385,0.0109,2,18,1,0
Ryan Gusto,MIA @ CHC,strikeouts,3.5,over,0.5376,0.0008,2,18,1,0
Ryan Gusto,MIA @ CHC,hits_allowed,4.5,over,0.5371,0.0000,1,22,3,0
Matthew Liberatore,STL @ PIT,hits_allowed,4.5,over,0.5371,0.0000,1,22,3,0
Sonny Gray,CLE @ BOS,pitching_outs,17.5,over,0.5363,0.0017,2,18,2,0
Walbert Urena,LAA @ ATH,strikeouts,4.5,over,0.5351,0.0041,2,18,1,0
Chris Sale,CIN @ ATL,hits_allowed,3.5,over,0.5323,0.0000,1,22,3,0
Seth Lugo,CWS @ KC,strikeouts,4.5,under,0.5309,0.0141,2,18,1,0
Mason Adams,ARI @ COL,pitching_outs,13.5,over,0.5300,0.0158,2,18,2,0
George Kirby,HOU @ SEA,strikeouts,4.5,over,0.5300,0.0063,2,18,1,0
Aaron Nola,MIL @ PHI,strikeouts,5.5,under,0.5285,0.0092,2,18,1,0
Nolan McLean,NYM @ TEX,strikeouts,5.5,over,0.5285,0.0092,2,18,1,0
Aaron Nola,MIL @ PHI,hits_allowed,4.5,over,0.5261,0.0000,1,22,3,0
Foster Griffin,CLE @ BOS,strikeouts,4.5,under,0.5228,0.0206,2,18,1,0
Walbert Urena,LAA @ ATH,pitching_outs,17.5,under,0.5221,0.0000,1,18,2,0
Aaron Nola,MIL @ PHI,pitching_outs,15.5,over,0.5194,0.0671,2,18,2,0
Robbie Ray,SD @ LAD,hits_allowed,4.5,over,0.5171,0.0000,1,22,3,0
Logan Henderson,MIL @ PHI,strikeouts,5.5,under,0.5156,0.0021,2,18,1,0
Mason Adams,ARI @ COL,hits_allowed,5.5,under,0.5151,0.0000,1,22,3,0
Sonny Gray,CLE @ BOS,strikeouts,4.5,over,0.5151,0.0218,2,18,1,0
Yoshinobu Yamamoto,SD @ LAD,strikeouts,6.5,under,0.5135,0.0104,2,18,1,0
Merrill Kelly,ARI @ COL,pitching_outs,15.5,under,0.5128,0.0134,2,18,2,0
Nolan McLean,NYM @ TEX,pitching_outs,17.5,under,0.5125,0.0088,2,18,2,0
Gerrit Cole,TB @ NYY,hits_allowed,4.5,over,0.5122,0.0000,1,22,3,0
Cody Bradford,NYM @ TEX,pitching_outs,12.5,over,0.5080,0.0000,1,18,2,0
