# promo app availability, compiled by video.py
# Player Name | market | line | sides | game
Chuba Hubbard | anytime_td | 0.5 | over | CAR @ ATL
Bryce Young | completions | 19.5 | over,under | CAR @ ATL
Ryan Fitzgerald | field_goals_made | 1.5 | over,under | CAR @ ATL
Bryce Young | interceptions | 0.5 | over,under | CAR @ ATL
Bryce Young | pass_attempts | 31.5 | over,under | CAR @ ATL
Drake London | receptions | 4.5 | over,under | CAR @ ATL
Bijan Robinson | rush_attempts | 18.5 | over,under | CAR @ ATL
Chuba Hubbard | rush_attempts | 13.5 | over,under | CAR @ ATL
Bijan Robinson | targets | 6.5 | over,under | CAR @ ATL
Chuba Hubbard | targets | 2.5 | over,under | CAR @ ATL
Drake London | targets | 7.5 | over,under | CAR @ ATL
Chase Brown | anytime_td | 0.5 | over | CIN @ HOU
C.J. Stroud | completions | 19.5 | over,under | CIN @ HOU
Joe Burrow | completions | 23.5 | over,under | CIN @ HOU
Evan McPherson | field_goals_made | 1.5 | over,under | CIN @ HOU
C.J. Stroud | interceptions | 0.5 | over,under | CIN @ HOU
Joe Burrow | interceptions | 0.5 | over,under | CIN @ HOU
C.J. Stroud | pass_attempts | 31.5 | over,under | CIN @ HOU
Joe Burrow | pass_attempts | 35.5 | over,under | CIN @ HOU
C.J. Stroud | pass_tds | 1.5 | over,under | CIN @ HOU
Joe Burrow | pass_tds | 1.5 | over,under | CIN @ HOU
Chase Brown | receptions | 3.5 | over,under | CIN @ HOU
Ja'Marr Chase | receptions | 6.5 | over,under | CIN @ HOU
Chase Brown | rush_attempts | 14.5 | over,under | CIN @ HOU
Joe Burrow | rush_attempts | 2.5 | over,under | CIN @ HOU
Chase Brown | targets | 4.5 | over,under | CIN @ HOU
Ja'Marr Chase | targets | 9.5 | over,under | CIN @ HOU
Bucky Irving | anytime_td | 0.5 | over | CLE @ TB
Baker Mayfield | completions | 18.5 | over,under | CLE @ TB
Deshaun Watson | completions | 16.5 | over,under | CLE @ TB
Deshaun Watson | interceptions | 0.5 | over | CLE @ TB
Baker Mayfield | pass_attempts | 27.5 | over,under | CLE @ TB
Deshaun Watson | pass_attempts | 29.5 | over,under | CLE @ TB
Baker Mayfield | pass_tds | 1.5 | over,under | CLE @ TB
Bucky Irving | rush_attempts | 15.5 | over,under | CLE @ TB
Quinshon Judkins | rush_attempts | 13.5 | over,under | CLE @ TB
Bucky Irving | targets | 3.0 | over,under | CLE @ TB
Quinshon Judkins | targets | 2.5 | over,under | CLE @ TB
Breece Hall | anytime_td | 0.5 | over | GB @ NYJ
Geno Smith | completions | 20.5 | over,under | GB @ NYJ
Jordan Love | completions | 20.5 | over,under | GB @ NYJ
Trey Smack | field_goals_made | 1.5 | over,under | GB @ NYJ
Geno Smith | interceptions | 0.5 | over,under | GB @ NYJ
Jordan Love | interceptions | 0.5 | over,under | GB @ NYJ
Geno Smith | pass_attempts | 30.5 | over,under | GB @ NYJ
Jordan Love | pass_attempts | 32.5 | over,under | GB @ NYJ
Jordan Love | pass_tds | 1.5 | over,under | GB @ NYJ
Breece Hall | receptions | 2.5 | over,under | GB @ NYJ
Garrett Wilson | receptions | 5.5 | over,under | GB @ NYJ
Breece Hall | rush_attempts | 16.5 | over,under | GB @ NYJ
Breece Hall | targets | 3.5 | over,under | GB @ NYJ
Garrett Wilson | targets | 9.0 | over,under | GB @ NYJ
Jonathan Taylor | anytime_td | 0.5 | over | IND @ KC
Daniel Jones | completions | 21.5 | over,under | IND @ KC
Patrick Mahomes | completions | 19.5 | over,under | IND @ KC
Harrison Butker | field_goals_made | 1.5 | over,under | IND @ KC
Daniel Jones | interceptions | 0.5 | over,under | IND @ KC
Daniel Jones | pass_attempts | 31.5 | over,under | IND @ KC
Patrick Mahomes | pass_attempts | 30.5 | over,under | IND @ KC
Patrick Mahomes | pass_tds | 1.5 | over,under | IND @ KC
Jonathan Taylor | receptions | 2.5 | over,under | IND @ KC
Keenan Allen | receptions | 3.5 | over,under | IND @ KC
Rashee Rice | receptions | 4.5 | over,under | IND @ KC
Travis Kelce | receptions | 3.5 | over | IND @ KC
Tyler Warren | receptions | 4.5 | over,under | IND @ KC
Xavier Worthy | receptions | 3.5 | over,under | IND @ KC
Jonathan Taylor | rush_attempts | 18.5 | over,under | IND @ KC
Kenneth Walker III | rush_attempts | 18.5 | over,under | IND @ KC
Alec Pierce | targets | 5.5 | over,under | IND @ KC
Jonathan Taylor | targets | 3.5 | over,under | IND @ KC
Josh Downs | targets | 6.0 | over,under | IND @ KC
Noah Gray | targets | 1.5 | over,under | IND @ KC
Rashee Rice | targets | 7.0 | over,under | IND @ KC
Tyler Warren | targets | 6.5 | over,under | IND @ KC
Tyquan Thornton | targets | 2.0 | over,under | IND @ KC
Cam Little | field_goals_made | 1.5 | over,under | JAX @ DEN
Bhayshul Tuten | receptions | 1.5 | over,under | JAX @ DEN
