# promo app availability, compiled by video.py
# source: C:\Users\suhas\Downloads\week2BoomPropsNFL.MP4
# Player Name | market | line | sides | game
Chuba Hubbard | anytime_td | 0.5 | over | CAR @ ATL
Bryce Young | completions | 20.5 | over,under | CAR @ ATL
Bryce Young | pass_attempts | 31.5 | over,under | CAR @ ATL
Drake London | receptions | 4.5 | over,under | CAR @ ATL
Jalen Coker | receptions | 4.5 | over,under | CAR @ ATL
Kyle Pitts Sr. | receptions | 3.5 | over,under | CAR @ ATL
Tetairoa McMillan | receptions | 4.5 | over,under | CAR @ ATL
Bijan Robinson | rush_attempts | 18.5 | over,under | CAR @ ATL
Bryce Young | rush_attempts | 3.5 | over,under | CAR @ ATL
Chuba Hubbard | rush_attempts | 14.5 | over,under | CAR @ ATL
Chase Brown | anytime_td | 0.5 | over | CIN @ HOU
David Montgomery | anytime_td | 0.5 | over | CIN @ HOU
C.J. Stroud | pass_tds | 1.5 | over,under | CIN @ HOU
Joe Burrow | pass_tds | 1.5 | over,under | CIN @ HOU
Dalton Schultz | receptions | 3.5 | over,under | CIN @ HOU
Ja'Marr Chase | receptions | 6.5 | over,under | CIN @ HOU
Mike Gesicki | receptions | 2.5 | over,under | CIN @ HOU
Samaje Perine | receptions | 1.5 | over,under | CIN @ HOU
Bucky Irving | anytime_td | 0.5 | over | CLE @ TB
Baker Mayfield | completions | 19.5 | over,under | CLE @ TB
Deshaun Watson | completions | 17.5 | over,under | CLE @ TB
Baker Mayfield | pass_attempts | 27.5 | over,under | CLE @ TB
Deshaun Watson | pass_attempts | 28.5 | over,under | CLE @ TB
Baker Mayfield | pass_tds | 1.5 | over,under | CLE @ TB
KC Concepcion | receptions | 2.5 | over,under | CLE @ TB
Bucky Irving | rush_attempts | 14.5 | over,under | CLE @ TB
Quinshon Judkins | rush_attempts | 12.5 | over,under | CLE @ TB
Josh Allen | anytime_td | 0.5 | over | DET @ BUF
Jared Goff | completions | 24.5 | over,under | DET @ BUF
Josh Allen | completions | 20.5 | over,under | DET @ BUF
Jared Goff | pass_attempts | 35.5 | over,under | DET @ BUF
Josh Allen | pass_attempts | 30.5 | over,under | DET @ BUF
Jared Goff | pass_tds | 1.5 | over,under | DET @ BUF
Amon-Ra St. Brown | receptions | 7.5 | over,under | DET @ BUF
DJ Moore | receptions | 4.5 | over,under | DET @ BUF
Sam LaPorta | receptions | 4.5 | over,under | DET @ BUF
Jahmyr Gibbs | rush_attempts | 19.5 | over,under | DET @ BUF
James Cook | rush_attempts | 17.5 | over,under | DET @ BUF
Amon-Ra St. Brown | targets | 10.5 | over,under | DET @ BUF
DJ Moore | targets | 7.0 | over,under | DET @ BUF
Dalton Kincaid | targets | 5.5 | over,under | DET @ BUF
Dawson Knox | targets | 2.0 | over,under | DET @ BUF
Isaac TeSlaa | targets | 2.0 | over,under | DET @ BUF
Jahmyr Gibbs | targets | 5.5 | over,under | DET @ BUF
James Cook | targets | 3.5 | over,under | DET @ BUF
Jameson Williams | targets | 6.5 | over,under | DET @ BUF
Joshua Palmer | targets | 1.5 | over,under | DET @ BUF
Keon Coleman | targets | 1.5 | over,under | DET @ BUF
Khalil Shakir | targets | 6.0 | over,under | DET @ BUF
Breece Hall | anytime_td | 0.5 | over | GB @ NYJ
MarShawn Lloyd | anytime_td | 0.5 | over | GB @ NYJ
Geno Smith | completions | 19.5 | over,under | GB @ NYJ
Jordan Love | completions | 20.5 | over,under | GB @ NYJ
Geno Smith | pass_attempts | 29.5 | over,under | GB @ NYJ
Jordan Love | pass_attempts | 32.5 | over,under | GB @ NYJ
Jordan Love | pass_tds | 1.5 | over,under | GB @ NYJ
Breece Hall | receptions | 2.5 | over,under | GB @ NYJ
Christian Watson | receptions | 4.5 | over,under | GB @ NYJ
Garrett Wilson | receptions | 5.5 | over,under | GB @ NYJ
Breece Hall | rush_attempts | 17.5 | over,under | GB @ NYJ
Jordan Love | rush_attempts | 2.5 | over,under | GB @ NYJ
Jonathan Taylor | anytime_td | 0.5 | over | IND @ KC
Daniel Jones | completions | 21.5 | over,under | IND @ KC
Patrick Mahomes | completions | 20.5 | over,under | IND @ KC
Daniel Jones | pass_attempts | 32.5 | over,under | IND @ KC
Patrick Mahomes | pass_attempts | 30.5 | over,under | IND @ KC
Patrick Mahomes | pass_tds | 1.5 | over,under | IND @ KC
Jonathan Taylor | receptions | 2.5 | over,under | IND @ KC
Josh Downs | receptions | 3.5 | over,under | IND @ KC
Keenan Allen | receptions | 3.5 | over,under | IND @ KC
Tyler Warren | receptions | 4.5 | over,under | IND @ KC
Xavier Worthy | receptions | 3.5 | over,under | IND @ KC
Jonathan Taylor | rush_attempts | 19.5 | over,under | IND @ KC
Kenneth Walker III | rush_attempts | 18.5 | over,under | IND @ KC
Bo Nix | completions | 21.5 | over,under | JAX @ DEN
Trevor Lawrence | completions | 19.5 | over,under | JAX @ DEN
Bo Nix | pass_attempts | 33.5 | over,under | JAX @ DEN
Trevor Lawrence | pass_attempts | 32.5 | over,under | JAX @ DEN
Bo Nix | pass_tds | 1.5 | over,under | JAX @ DEN
Bhayshul Tuten | receptions | 1.5 | over,under | JAX @ DEN
Courtland Sutton | receptions | 3.5 | over,under | JAX @ DEN
Jakobi Meyers | receptions | 3.5 | over,under | JAX @ DEN
Bhayshul Tuten | rush_attempts | 13.5 | over,under | JAX @ DEN
Bo Nix | rush_attempts | 4.5 | over,under | JAX @ DEN
JK Dobbins | rush_attempts | 12.5 | over,under | JAX @ DEN
RJ Harvey | rush_attempts | 7.5 | over,under | JAX @ DEN
Trevor Lawrence | rush_attempts | 4.5 | over,under | JAX @ DEN
Ashton Jeanty | anytime_td | 0.5 | over | LV @ LAC
Omarion Hampton | anytime_td | 0.5 | over | LV @ LAC
Justin Herbert | completions | 19.5 | over,under | LV @ LAC
Justin Herbert | pass_attempts | 27.5 | over,under | LV @ LAC
Kirk Cousins | pass_attempts | 28.5 | over,under | LV @ LAC
Justin Herbert | pass_tds | 1.5 | over,under | LV @ LAC
Ashton Jeanty | rush_attempts | 17.5 | over,under | LV @ LAC
Omarion Hampton | rush_attempts | 16.5 | over,under | LV @ LAC
Brock Purdy | completions | 20.5 | over,under | MIA @ SF
Malik Willis | completions | 15.5 | over,under | MIA @ SF
Brock Purdy | pass_attempts | 26.5 | over,under | MIA @ SF
Malik Willis | pass_attempts | 27.5 | over,under | MIA @ SF
Greg Dulcich | receptions | 2.5 | over,under | MIA @ SF
Mike Evans | receptions | 3.5 | over,under | MIA @ SF
Brock Purdy | rush_attempts | 3.5 | over,under | MIA @ SF
De'Von Achane | rush_attempts | 11.5 | over,under | MIA @ SF
Aaron Jones | anytime_td | 0.5 | over | MIN @ CHI
D'Andre Swift | anytime_td | 0.5 | over | MIN @ CHI
Caleb Williams | completions | 19.5 | over,under | MIN @ CHI
Caleb Williams | pass_attempts | 30.5 | over,under | MIN @ CHI
Caleb Williams | pass_tds | 1.5 | over,under | MIN @ CHI
D'Andre Swift | receptions | 1.5 | over,under | MIN @ CHI
Justin Jefferson | receptions | 5.5 | over | MIN @ CHI
Luther Burden III | receptions | 4.5 | over,under | MIN @ CHI
TJ Hockenson | receptions | 3.5 | over,under | MIN @ CHI
Aaron Jones | rush_attempts | 10.5 | over,under | MIN @ CHI
D'Andre Swift | rush_attempts | 15.5 | over,under | MIN @ CHI
Lamar Jackson | completions | 19.5 | over,under | NO @ BAL
Tyler Shough | completions | 21.5 | over,under | NO @ BAL
Lamar Jackson | pass_attempts | 28.5 | over,under | NO @ BAL
Tyler Shough | pass_attempts | 34.5 | over,under | NO @ BAL
Lamar Jackson | pass_tds | 1.5 | over,under | NO @ BAL
Chris Olave | receptions | 5.5 | over,under | NO @ BAL
DeVaughn Vele | receptions | 3.5 | over,under | NO @ BAL
Tyler Shough | rush_attempts | 3.5 | over,under | NO @ BAL
Kyren Williams | anytime_td | 0.5 | over | NYG @ LAR
Puka Nacua | anytime_td | 0.5 | over | NYG @ LAR
Jaxson Dart | completions | 20.5 | over,under | NYG @ LAR
Matthew Stafford | completions | 21.5 | over,under | NYG @ LAR
Jaxson Dart | pass_attempts | 31.5 | over,under | NYG @ LAR
Matthew Stafford | pass_attempts | 32.5 | over,under | NYG @ LAR
Davante Adams | receptions | 3.5 | over,under | NYG @ LAR
Isaiah Likely | receptions | 4.5 | over,under | NYG @ LAR
Malik Nabers | receptions | 5.5 | over,under | NYG @ LAR
Puka Nacua | receptions | 6.5 | over,under | NYG @ LAR
Blake Corum | rush_attempts | 10.5 | over,under | NYG @ LAR
Cam Skattebo | rush_attempts | 12.5 | over,under | NYG @ LAR
Kyren Williams | rush_attempts | 14.5 | over,under | NYG @ LAR
Saquon Barkley | anytime_td | 0.5 | over | PHI @ TEN
Cam Ward | completions | 19.5 | over,under | PHI @ TEN
Cam Ward | pass_attempts | 32.5 | over,under | PHI @ TEN
Jalen Hurts | pass_attempts | 28.5 | over,under | PHI @ TEN
Gunnar Helm | receptions | 2.5 | over,under | PHI @ TEN
Tony Pollard | receptions | 1.5 | over,under | PHI @ TEN
Jalen Hurts | rush_attempts | 6.5 | over,under | PHI @ TEN
Saquon Barkley | rush_attempts | 18.5 | over,under | PHI @ TEN
Tyjae Spears | rush_attempts | 6.5 | over,under | PHI @ TEN
Rhamondre Stevenson | anytime_td | 0.5 | over | PIT @ NE
Aaron Rodgers | completions | 20.5 | over,under | PIT @ NE
Drake Maye | completions | 20.5 | over,under | PIT @ NE
Aaron Rodgers | pass_attempts | 34.5 | over,under | PIT @ NE
Drake Maye | pass_attempts | 29.5 | over,under | PIT @ NE
Jacoby Brissett | completions | 20.5 | over,under | SEA @ ARI
Jeremiyah Love | rush_attempts | 9.5 | over,under | SEA @ ARI
Dak Prescott | completions | 22.5 | over,under | WAS @ DAL
Jayden Daniels | completions | 18.5 | over,under | WAS @ DAL
Dak Prescott | pass_attempts | 34.5 | over,under | WAS @ DAL
Jayden Daniels | pass_attempts | 29.5 | over,under | WAS @ DAL
CeeDee Lamb | receptions | 5.5 | over,under | WAS @ DAL
George Pickens | receptions | 4.5 | over,under | WAS @ DAL
Javonte Williams | receptions | 2.5 | over,under | WAS @ DAL
Stefon Diggs | receptions | 4.5 | over,under | WAS @ DAL
Jacory Croskey-Merritt | rush_attempts | 13.5 | over,under | WAS @ DAL
Javonte Williams | rush_attempts | 17.5 | over,under | WAS @ DAL
Jayden Daniels | rush_attempts | 6.5 | over,under | WAS @ DAL
