player,game,market,line,side,true_p,spread,books,opportunity,pref,one_sided
Javonte Williams,BAL @ DAL,receptions,2.5,over,0.5651,0.0039,2,6,1,0
Calvin Ridley,TEN @ NYG,receptions,1.5,under,0.5585,0.0000,1,6,1,0
Elic Ayomanor,TEN @ NYG,receptions,1.5,under,0.5585,0.0000,1,6,1,0
Christian Watson,ATL @ GB,receptions,4.5,over,0.5546,0.0255,2,6,1,0
Pat Freiermuth,CIN @ PIT,receptions,3.5,over,0.5536,0.0099,2,6,1,0
Dak Prescott,BAL @ DAL,pass_tds,1.5,over,0.5485,0.0132,2,32,2,0
Kirk Cousins,LV @ NO,interceptions,0.5,over,0.5440,0.0000,1,6,7,0
Ashton Jeanty,LV @ NO,receptions,3.5,over,0.5435,0.0151,2,6,1,0
Harrison Mevis,LAR @ DEN,field_goals_made,1.5,over,0.5420,0.0000,1,6,8,0
Tyler Shough,LV @ NO,completions,22.5,under,0.5392,0.0000,1,22,9,0
Jaylin Noel,HOU @ IND,receptions,2.5,under,0.5384,0.0205,2,6,1,0
Bo Nix,LAR @ DEN,completions,21.5,under,0.5372,0.0000,1,22,9,0
KC Concepcion,CAR @ CLE,receptions,3.5,over,0.5357,0.0069,2,6,1,0
Matthew Golden,ATL @ GB,receptions,4.5,under,0.5330,0.0098,2,6,1,0
Justin Jefferson,MIN @ TB,receptions,5.5,over,0.5327,0.0008,2,6,1,0
Drake London,ATL @ GB,receptions,5.5,under,0.5296,0.0324,2,6,1,0
Denzel Boston,CAR @ CLE,receptions,3.5,under,0.5271,0.0258,2,6,1,0
Adonai Mitchell,NYJ @ DET,receptions,3.5,over,0.5271,0.0022,2,6,1,0
Michael Penix Jr.,ATL @ GB,completions,18.5,over,0.5260,0.0000,1,22,9,0
CeeDee Lamb,BAL @ DAL,receptions,6.5,over,0.5250,0.0019,2,6,1,0
Xavier Worthy,KC @ MIA,receptions,3.5,under,0.5250,0.0019,2,6,1,0
Jalen Hurts,PHI @ CHI,rush_attempts,6.5,over,0.5247,0.0000,1,15,6,0
Jalen Hurts,PHI @ CHI,pass_attempts,28.5,under,0.5239,0.0000,1,32,5,0
Jake Ferguson,BAL @ DAL,receptions,3.5,over,0.5236,0.0189,2,6,1,0
Emmett Johnson,KC @ MIA,receptions,1.5,under,0.5235,0.0094,2,6,1,0
Matthew Stafford,LAR @ DEN,pass_attempts,33.5,over,0.5218,0.0000,1,32,5,0
Brock Purdy,ARI @ SF,completions,20.5,over,0.5209,0.0000,1,22,9,0
Wil Lutz,LAR @ DEN,field_goals_made,1.5,over,0.5188,0.0000,1,6,8,0
Kirk Cousins,LV @ NO,pass_attempts,31.5,over,0.5188,0.0000,1,32,5,0
Dak Prescott,BAL @ DAL,completions,25.5,under,0.5167,0.0000,1,22,9,0
Dak Prescott,BAL @ DAL,pass_attempts,36.5,over,0.5167,0.0000,1,32,5,0
Derrick Henry,BAL @ DAL,rush_attempts,18.5,under,0.5167,0.0000,1,15,6,0
DeVonta Smith,PHI @ CHI,receptions,5.5,over,0.5165,0.0046,2,6,1,0
Dak Prescott,BAL @ DAL,interceptions,0.5,over,0.5125,0.0000,1,6,7,0
Bo Nix,LAR @ DEN,interceptions,0.5,over,0.5125,0.0000,1,6,7,0
TJ Hockenson,MIN @ TB,receptions,3.5,under,0.5082,0.0043,2,6,1,0
Kyle Pitts Sr.,ATL @ GB,receptions,3.5,over,0.5073,0.0146,2,6,1,0
Sam LaPorta,NYJ @ DET,receptions,4.5,over,0.5042,0.0083,2,6,1,0
Michael Penix Jr.,ATL @ GB,interceptions,0.5,under,0.5042,0.0000,1,6,7,0
Matthew Stafford,LAR @ DEN,interceptions,0.5,under,0.5042,0.0000,1,6,7,0
Bo Nix,LAR @ DEN,pass_attempts,33.5,under,0.5042,0.0000,1,32,5,0
Michael Penix Jr.,ATL @ GB,pass_attempts,31.5,under,0.5010,0.0000,1,32,5,0
Javonte Williams,BAL @ DAL,rush_attempts,14.5,under,0.5010,0.0000,1,15,6,0
Kirk Cousins,LV @ NO,completions,20.5,under,0.5010,0.0000,1,22,9,0
