# promo app availability, compiled by video.py
# Player Name | market | line | sides | game
Angel Reese | assists | 2.5 | over,under | ATL @ NYL
DeWanna Bonner | assists | 1.5 | over | ATL @ NYL
Jonquel Jones | assists | 2.5 | over,under | ATL @ NYL
Sabrina Ionescu | assists | 4.5 | over,under | ATL @ NYL
Allisha Gray | points | 17.5 | over,under | ATL @ NYL
Angel Reese | points | 15.5 | over,under | ATL @ NYL
Breanna Stewart | points | 18.5 | over,under | ATL @ NYL
DeWanna Bonner | points | 7.5 | over,under | ATL @ NYL
Jonquel Jones | points | 14.5 | over,under | ATL @ NYL
Jordin Canada | points | 10.5 | over,under | ATL @ NYL
Leonie Fiebich | points | 8.5 | over,under | ATL @ NYL
Marine Johannes | points | 7.5 | over | ATL @ NYL
Naz Hillmon | points | 6.5 | over,under | ATL @ NYL
Pauline Astier | points | 8.5 | over,under | ATL @ NYL
Rhyne Howard | points | 16.5 | over,under | ATL @ NYL
Sabrina Ionescu | points | 14.5 | over,under | ATL @ NYL
Allisha Gray | pra | 23.5 | over,under | ATL @ NYL
Angel Reese | pra | 30.5 | over,under | ATL @ NYL
Breanna Stewart | pra | 30.5 | over,under | ATL @ NYL
Jonquel Jones | pra | 26.5 | over,under | ATL @ NYL
Jordin Canada | pra | 21.5 | over,under | ATL @ NYL
Leonie Fiebich | pra | 13.5 | over,under | ATL @ NYL
Naz Hillmon | pra | 12.5 | over,under | ATL @ NYL
Pauline Astier | pra | 14.5 | over,under | ATL @ NYL
Rhyne Howard | pra | 23.5 | over,under | ATL @ NYL
Sabrina Ionescu | pra | 23.5 | over,under | ATL @ NYL
Allisha Gray | pts_ast | 19.5 | over,under | ATL @ NYL
Angel Reese | pts_ast | 18.5 | over,under | ATL @ NYL
Breanna Stewart | pts_ast | 21.5 | over,under | ATL @ NYL
Jonquel Jones | pts_ast | 17.5 | over,under | ATL @ NYL
Jordin Canada | pts_ast | 17.5 | over,under | ATL @ NYL
Leonie Fiebich | pts_ast | 10.5 | over,under | ATL @ NYL
Naz Hillmon | pts_ast | 8.5 | over,under | ATL @ NYL
Pauline Astier | pts_ast | 11.5 | over,under | ATL @ NYL
Rhyne Howard | pts_ast | 20.5 | over,under | ATL @ NYL
Sabrina Ionescu | pts_ast | 19.5 | over,under | ATL @ NYL
Allisha Gray | pts_reb | 21.5 | over,under | ATL @ NYL
Angel Reese | pts_reb | 27.5 | over,under | ATL @ NYL
Breanna Stewart | pts_reb | 27.5 | over,under | ATL @ NYL
Jonquel Jones | pts_reb | 23.5 | over,under | ATL @ NYL
Jordin Canada | pts_reb | 13.5 | over,under | ATL @ NYL
Leonie Fiebich | pts_reb | 11.5 | over,under | ATL @ NYL
Naz Hillmon | pts_reb | 10.5 | over,under | ATL @ NYL
Pauline Astier | pts_reb | 11.5 | over,under | ATL @ NYL
Rhyne Howard | pts_reb | 20.5 | over,under | ATL @ NYL
Sabrina Ionescu | pts_reb | 18.5 | over,under | ATL @ NYL
Allisha Gray | reb_ast | 5.5 | over,under | ATL @ NYL
Angel Reese | reb_ast | 14.5 | over,under | ATL @ NYL
Breanna Stewart | reb_ast | 11.5 | over,under | ATL @ NYL
Jonquel Jones | reb_ast | 11.5 | over,under | ATL @ NYL
Jordin Canada | reb_ast | 10.5 | over,under | ATL @ NYL
Leonie Fiebich | reb_ast | 5.5 | over,under | ATL @ NYL
Naz Hillmon | reb_ast | 5.5 | over,under | ATL @ NYL
Rhyne Howard | reb_ast | 6.5 | over | ATL @ NYL
Sabrina Ionescu | reb_ast | 8.5 | over,under | ATL @ NYL
Angel Reese | rebounds | 11.5 | over,under | ATL @ NYL
Breanna Stewart | rebounds | 8.5 | over,under | ATL @ NYL
DeWanna Bonner | rebounds | 4.5 | over | ATL @ NYL
Jonquel Jones | rebounds | 8.5 | over,under | ATL @ NYL
Naz Hillmon | rebounds | 3.5 | over | ATL @ NYL
Rhyne Howard | rebounds | 3.5 | over,under | ATL @ NYL
Sabrina Ionescu | rebounds | 3.5 | over,under | ATL @ NYL
Allisha Gray | three_attempts | 5.0 | over,under | ATL @ NYL
Jonquel Jones | three_attempts | 5.0 | over,under | ATL @ NYL
Rhyne Howard | three_attempts | 9.0 | over,under | ATL @ NYL
Sabrina Ionescu | three_attempts | 6.5 | over,under | ATL @ NYL
Breanna Stewart | threes | 0.5 | over,under | ATL @ NYL
Jonquel Jones | threes | 1.5 | over,under | ATL @ NYL
Jordin Canada | threes | 0.5 | over,under | ATL @ NYL
Marine Johannes | threes | 1.5 | over | ATL @ NYL
Sabrina Ionescu | threes | 1.5 | over,under | ATL @ NYL
Natisha Hiedeman | assists | 4.5 | over | DAL @ SEA
Paige Bueckers | assists | 5.5 | over | DAL @ SEA
Arike Ogunbowale | points | 15.5 | over | DAL @ SEA
Dominique Malonga | points | 15.5 | over | DAL @ SEA
Flau'jae Johnson | points | 17.5 | over | DAL @ SEA
Natisha Hiedeman | points | 12.5 | over | DAL @ SEA
Paige Bueckers | points | 21.5 | over | DAL @ SEA
Arike Ogunbowale | pra | 22.5 | over | DAL @ SEA
Dominique Malonga | pra | 25.5 | over | DAL @ SEA
Flau'jae Johnson | pra | 26.5 | over | DAL @ SEA
Jessica Shepard | pra | 29.5 | over | DAL @ SEA
Natisha Hiedeman | pra | 20.5 | over | DAL @ SEA
Paige Bueckers | pra | 31.5 | over | DAL @ SEA
Arike Ogunbowale | pts_ast | 19.5 | over | DAL @ SEA
Dominique Malonga | pts_ast | 17.5 | over | DAL @ SEA
Flau'jae Johnson | pts_ast | 21.5 | over | DAL @ SEA
Jessica Shepard | pts_ast | 19.5 | over | DAL @ SEA
Natisha Hiedeman | pts_ast | 17.5 | over | DAL @ SEA
Paige Bueckers | pts_ast | 27.5 | over | DAL @ SEA
Arike Ogunbowale | pts_reb | 19.5 | over | DAL @ SEA
Dominique Malonga | pts_reb | 23.5 | over | DAL @ SEA
Flau'jae Johnson | pts_reb | 22.5 | over | DAL @ SEA
Jessica Shepard | pts_reb | 24.5 | over | DAL @ SEA
Natisha Hiedeman | pts_reb | 15.5 | over | DAL @ SEA
Paige Bueckers | pts_reb | 25.5 | over | DAL @ SEA
Arike Ogunbowale | reb_ast | 6.5 | over | DAL @ SEA
Dominique Malonga | reb_ast | 9.5 | over | DAL @ SEA
Flau'jae Johnson | reb_ast | 7.5 | over | DAL @ SEA
Jessica Shepard | reb_ast | 15.5 | over | DAL @ SEA
Natisha Hiedeman | reb_ast | 6.5 | over | DAL @ SEA
Paige Bueckers | reb_ast | 9.5 | over | DAL @ SEA
Flau'jae Johnson | rebounds | 4.5 | over | DAL @ SEA
Jessica Shepard | rebounds | 10.5 | over | DAL @ SEA
Arike Ogunbowale | three_attempts | 5.5 | over,under | DAL @ SEA
Paige Bueckers | three_attempts | 5.0 | over,under | DAL @ SEA
Arike Ogunbowale | threes | 1.5 | over | DAL @ SEA
Dominique Malonga | threes | 0.5 | over | DAL @ SEA
Flau'jae Johnson | threes | 1.5 | over | DAL @ SEA
Paige Bueckers | threes | 1.5 | over | DAL @ SEA
