player,game,market,line,side,true_p,spread,books,opportunity,pref,one_sided
Jordin Canada,ATL @ NYL,threes,0.5,over,0.5593,0.0000,1,7,8,0
Naz Hillmon,ATL @ NYL,rebounds,3.5,over,0.5577,0.0017,2,10,2,0
Rhyne Howard,ATL @ NYL,reb_ast,6.5,over,0.5574,0.0052,2,18,6,0
Breanna Stewart,ATL @ NYL,rebounds,8.5,under,0.5468,0.0000,1,10,2,0
Sabrina Ionescu,ATL @ NYL,threes,1.5,over,0.5430,0.0056,2,7,8,0
Angel Reese,ATL @ NYL,assists,2.5,over,0.5406,0.0104,2,8,3,0
Naz Hillmon,ATL @ NYL,points,6.5,over,0.5359,0.0073,2,20,1,0
Leonie Fiebich,ATL @ NYL,reb_ast,5.5,under,0.5354,0.0000,1,18,6,0
Sabrina Ionescu,ATL @ NYL,reb_ast,8.5,under,0.5328,0.0012,2,18,6,0
Naz Hillmon,ATL @ NYL,pts_reb,10.5,over,0.5284,0.0004,2,30,4,0
Jonquel Jones,ATL @ NYL,assists,2.5,under,0.5282,0.0280,2,8,3,0
Leonie Fiebich,ATL @ NYL,points,8.5,under,0.5282,0.0000,1,20,1,0
Allisha Gray,ATL @ NYL,pts_reb,21.5,under,0.5282,0.0000,1,30,4,0
Jordin Canada,ATL @ NYL,pts_reb,13.5,over,0.5274,0.0016,2,30,4,0
Naz Hillmon,ATL @ NYL,reb_ast,5.5,under,0.5274,0.0426,2,18,6,0
Jonquel Jones,ATL @ NYL,pts_ast,17.5,under,0.5250,0.0064,2,28,5,0
Pauline Astier,ATL @ NYL,points,8.5,under,0.5249,0.0115,2,20,1,0
Allisha Gray,ATL @ NYL,pts_ast,19.5,over,0.5246,0.0000,1,28,5,0
Breanna Stewart,ATL @ NYL,reb_ast,11.5,under,0.5246,0.0000,1,18,6,0
Sabrina Ionescu,ATL @ NYL,assists,4.5,over,0.5240,0.0165,2,8,3,0
Jonquel Jones,ATL @ NYL,threes,1.5,over,0.5239,0.0095,2,7,8,0
Rhyne Howard,ATL @ NYL,pts_ast,20.5,under,0.5236,0.0174,2,28,5,0
Jordin Canada,ATL @ NYL,pts_ast,17.5,over,0.5229,0.0023,2,28,5,0
DeWanna Bonner,ATL @ NYL,points,7.5,over,0.5227,0.0289,2,20,1,0
Jonquel Jones,ATL @ NYL,rebounds,8.5,over,0.5224,0.0164,2,10,2,0
Sabrina Ionescu,ATL @ NYL,points,14.5,over,0.5212,0.0000,1,20,1,0
Sabrina Ionescu,ATL @ NYL,pts_ast,19.5,over,0.5205,0.0153,2,28,5,0
Sabrina Ionescu,ATL @ NYL,rebounds,3.5,under,0.5205,0.0153,2,10,2,0
Breanna Stewart,ATL @ NYL,pts_reb,27.5,under,0.5198,0.0000,1,30,4,0
Leonie Fiebich,ATL @ NYL,pts_reb,11.5,under,0.5185,0.0192,2,30,4,0
